"id","metrocode","countrycode","regionname","targetable","regionid","metroname","regioncode","countryname","cityname","countryid"
"1000637","","AU","Western Australia","true","20041","","AU-WA","Australia","Busselton","2036"
"1000650","","AU","Western Australia","true","20041","","AU-WA","Australia","Geraldton","2036"
"1000652","","AU","Queensland","true","20037","","AU-QLD","Australia","Hervey Bay","2036"
"1000653","","AU","Western Australia","true","20041","","AU-WA","Australia","Kalgoorlie","2036"
"1000654","","AU","Western Australia","true","20041","","AU-WA","Australia","Karratha","2036"
"1000658","","AU","Western Australia","true","20041","","AU-WA","Australia","Kwinana","2036"
"1000662","","AU","Western Australia","true","20041","","AU-WA","Australia","Mandurah","2036"
"1000665","","AU","Queensland","true","20037","","AU-QLD","Australia","Gold Coast","2036"
"1000676","","AU","Western Australia","true","20041","","AU-WA","Australia","Perth","2036"
"1000678","","AU","Western Australia","true","20041","","AU-WA","Australia","Port Hedland","2036"
"1000679","","AU","Western Australia","true","20041","","AU-WA","Australia","Rockingham","2036"
"1000683","","AT","Burgenland","true","20042","","AT-1","Austria","Bad Tatzmannsdorf","2040"
"1000684","","AT","Burgenland","true","20042","","AT-1","Austria","Eisenstadt","2040"
"1000685","","AT","Burgenland","true","20042","","AT-1","Austria","Grosspetersdorf","2040"
"1000686","","AT","Burgenland","true","20042","","AT-1","Austria","Jennersdorf","2040"
"1000687","","AT","Burgenland","true","20042","","AT-1","Austria","Landsee","2040"
"1000688","","AT","Burgenland","true","20042","","AT-1","Austria","Lockenhaus","2040"
"1000689","","AT","Burgenland","true","20042","","AT-1","Austria","Mattersburg","2040"
"1000690","","AT","Burgenland","true","20042","","AT-1","Austria","Neusiedl am See","2040"
"1000691","","AT","Burgenland","true","20042","","AT-1","Austria","Oberpullendorf","2040"
"1000692","","AT","Burgenland","true","20042","","AT-1","Austria","Oberwart","2040"
"1000693","","AT","Burgenland","true","20042","","AT-1","Austria","Parndorf","2040"
"1000694","","AT","Burgenland","true","20042","","AT-1","Austria","Wimpassing an der Leitha","2040"
"1000695","","AT","Carinthia","true","20043","","AT-2","Austria","Arnoldstein","2040"
"1000696","","AT","Carinthia","true","20043","","AT-2","Austria","Bad Sankt Leonhard im Lavanttal","2040"
"1000697","","AT","Carinthia","true","20043","","AT-2","Austria","Bad Bleiberg","2040"
"1000698","","AT","Carinthia","true","20043","","AT-2","Austria","Feistritz an der Gail","2040"
"1000699","","AT","Carinthia","true","20043","","AT-2","Austria","Frantschach","2040"
"1000700","","AT","Carinthia","true","20043","","AT-2","Austria","Friesach","2040"
"1000701","","AT","Carinthia","true","20043","","AT-2","Austria","Klagenfurt","2040"
"1000702","","AT","Carinthia","true","20043","","AT-2","Austria","Mallnitz","2040"
"1000703","","AT","Burgenland","true","20042","","AT-1","Austria","Neudorfl","2040"
